tag,year,cik,start,end,val,accn,url
Revenues,2019,1045609,2019-01-01,2019-12-31,3330621000,0001564590-22-004436,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,1045810,2019-01-28,2020-01-26,10918000000,0001045810-22-000036,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,1047862,2019-01-01,2019-12-31,12574000000,0001047862-22-000039,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,1048286,2019-01-01,2019-12-31,20972000000,0001628280-22-002666,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,1051470,2019-01-01,2019-12-31,5763000000,0001051470-22-000019,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,1053507,2019-01-01,2019-12-31,7580300000,0001053507-22-000017,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,1058090,2019-01-01,2019-12-31,5586369000,0001058090-22-000011,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,1058290,2019-01-01,2019-12-31,16783000000,0001058290-22-000023,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,1060391,2019-01-01,2019-12-31,12193000000,0001060391-22-000007,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,1063761,2019-01-01,2019-12-31,5755189000,0001558370-22-001845,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,1065280,2019-01-01,2019-12-31,20156447000,0001065280-22-000036,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,1067701,2019-01-01,2019-12-31,9351000000,0001067701-22-000008,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,1067983,2019-01-01,2019-12-31,254616000000,0001564590-22-007322,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,1069202,2019-01-01,2019-12-31,3807200000,0001628280-22-002664,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
