case_number,year,name,cik,match,n_defendants,penalty_usd,share_usd
08-2019-0060,2019,DePuy Synthes,0000200406,subsidiary,1,10750.0,10750.0
07-2022-0126,2022,"Corteva Agriscience, LLC",0001755672,subsidiary,1,10747.46,10747.46
04-2016-4507,2016,"STANDARD PACIFIC OF FLORIDA GP, INC.",0000920760,subsidiary,2,20000.0,10000.0
04-2016-4528,2016,"STANDARD PACIFIC OF FLORIDA GP, INC.",0000920760,subsidiary,2,19955.0,9977.5
10-2023-0152,2023,Pulte Homes of Washington LLC,0000822416,subsidiary,1,9220.0,9220.0
03-2024-0096,2024,APPALACHIAN POWER COMPANY,0000004904,subsidiary,1,9187.0,9187.0
02-2020-7707,2021,"Telx-Clifton, LLC",0001297996,subsidiary,1,9060.0,9060.0
04-2017-2000,2016,OCCIDENTAL CHEMICAL CORPORATION,0000797468,subsidiary,1,8629.0,8629.0
06-2021-4803,2021,Federal Express Corporation,0001048911,subsidiary,2,17200.0,8600.0
01-2016-7007,2016,GENERAL DYNAMICS - OTS INC,0000040533,subsidiary,1,8500.0,8500.0
04-2017-4502,2017,"LENNAR HOMES, LLC",0000920760,subsidiary,2,17000.0,8500.0
04-2017-4501,2017,CONCORD STATION,0000920760,subsidiary,2,17000.0,8500.0
06-2022-0504,2022,Frito-Lay Inc.,0000077476,subsidiary,1,8488.0,8488.0
04-2016-4527,2016,"STANDARD PACIFIC OF TAMPA GP, INC.",0000920760,subsidiary,2,16306.0,8153.0
05-2024-5037,2024,PHARMACIA & UPJOHN CO LLC,0000078003,subsidiary,1,8100.0,8100.0
06-2020-4801,2019,Dow Chemical Company,0001751788,subsidiary,2,16000.0,8000.0
02-2025-3317,2025,Kraft Heinz,0001637459,name,1,7969.0,7969.0
04-2023-0603,2023,Virginia Electric and Power Company,0000715957,subsidiary,1,7738.0,7738.0
06-2026-0991,2025,CUMMINS NATURAL GAS ENGINES,0000026172,subsidiary,1,7500.0,7500.0
06-2025-0981,2025,Skippy Foods LLC,0000048465,subsidiary,1,7500.0,7500.0
03-2019-8397,2018,"North American Industrial Services, Inc.",0001050915,subsidiary,1,7300.0,7300.0
06-2021-0942,2021,Luminant Generation Company LLC,0001692819,subsidiary,1,7060.0,7060.0
